"","entidad","tipo_delito","total_delitos","total_delito_fuero_comun","total_delito_fuero_federal"
"245","Baja California Sur","60100",0,0,0
"246","Baja California Sur","60200",0,0,0
"247","Baja California Sur","60300",0,0,0
"248","Baja California Sur","60400",0,0,0
"249","Baja California Sur","60500",0,0,0
"250","Baja California Sur","60600",0,0,0
"251","Baja California Sur","70100",45,15,30
"252","Baja California Sur","70200",3,0,3
"253","Baja California Sur","70300",0,0,0
"254","Baja California Sur","70400",0,0,0
"255","Baja California Sur","70500",0,0,0
"256","Baja California Sur","70600",10,0,10
"257","Baja California Sur","70700",1,1,0
"258","Baja California Sur","70800",0,0,0
"259","Baja California Sur","70900",0,0,0
"260","Baja California Sur","80100",0,0,0
"261","Baja California Sur","80200",0,0,0
"262","Baja California Sur","80300",0,0,0
"263","Baja California Sur","80400",0,0,0
"264","Baja California Sur","80500",0,0,0
"265","Baja California Sur","90100",0,0,0
"266","Baja California Sur","90200",1,1,0
"267","Baja California Sur","90300",0,0,0
"268","Baja California Sur","90400",2,0,2
"269","Baja California Sur","90500",1,0,1
"270","Baja California Sur","90600",0,0,0
"271","Baja California Sur","90700",0,0,0
"272","Baja California Sur","90800",0,0,0
"273","Baja California Sur","90900",0,0,0
"274","Baja California Sur","91000",0,0,0
"275","Baja California Sur","91100",0,0,0
"276","Baja California Sur","91200",0,0,0
"277","Baja California Sur","91300",0,0,0
"278","Baja California Sur","91400",0,0,0
"279","Baja California Sur","91500",0,0,0
"280","Baja California Sur","91600",0,0,0
"281","Baja California Sur","91700",0,0,0
"282","Baja California Sur","91800",38,38,0
"283","Baja California Sur","100100",0,0,0
"284","Baja California Sur","999999",0,0,0
"285","Campeche","Total",473,444,29
"286","Campeche","10100",45,44,1
"287","Campeche","10200",1,1,0
"288","Campeche","10300",0,0,0
"289","Campeche","10400",11,10,1
"290","Campeche","10500",0,0,0
"291","Campeche","20100",8,8,0
"292","Campeche","20200",0,0,0
"293","Campeche","20300",0,0,0
"294","Campeche","20400",0,0,0
"295","Campeche","20500",0,0,0
"296","Campeche","20600",15,14,1
"297","Campeche","20700",0,0,0
"298","Campeche","30100",17,17,0
"299","Campeche","30200",0,0,0
"300","Campeche","30300",0,0,0
"301","Campeche","30400",21,21,0
"302","Campeche","30500",0,0,0
"303","Campeche","30600",0,0,0
"304","Campeche","30700",0,0,0
"305","Campeche","40100",166,166,0
"306","Campeche","40200",0,0,0
"307","Campeche","40300",7,7,0
"308","Campeche","40400",0,0,0
"309","Campeche","40500",0,0,0
"310","Campeche","40600",2,2,0
"311","Campeche","40700",4,4,0
"312","Campeche","40800",0,0,0
"313","Campeche","50100",5,5,0
"314","Campeche","50200",8,8,0
"315","Campeche","50300",0,0,0
"316","Campeche","60100",0,0,0
"317","Campeche","60200",0,0,0
"318","Campeche","60300",0,0,0
"319","Campeche","60400",0,0,0
"320","Campeche","60500",0,0,0
"321","Campeche","60600",0,0,0
"322","Campeche","70100",82,82,0
"323","Campeche","70200",16,0,16
"324","Campeche","70300",0,0,0
"325","Campeche","70400",0,0,0
"326","Campeche","70500",1,0,1
"327","Campeche","70600",1,0,1
"328","Campeche","70700",0,0,0
"329","Campeche","70800",0,0,0
"330","Campeche","70900",0,0,0
"331","Campeche","80100",26,24,2
"332","Campeche","80200",1,1,0
"333","Campeche","80300",1,0,1
"334","Campeche","80400",0,0,0
"335","Campeche","80500",0,0,0
"336","Campeche","90100",0,0,0
"337","Campeche","90200",4,4,0
"338","Campeche","90300",0,0,0
"339","Campeche","90400",1,0,1
"340","Campeche","90500",2,0,2
"341","Campeche","90600",1,0,1
"342","Campeche","90700",0,0,0
"343","Campeche","90800",0,0,0
"344","Campeche","90900",0,0,0
"345","Campeche","91000",0,0,0
"346","Campeche","91100",0,0,0
"347","Campeche","91200",1,1,0
"348","Campeche","91300",26,25,1
"349","Campeche","91400",0,0,0
"350","Campeche","91500",0,0,0
"351","Campeche","91600",0,0,0
"352","Campeche","91700",0,0,0
"353","Campeche","91800",0,0,0
"354","Campeche","100100",0,0,0
"355","Campeche","999999",0,0,0
"356","Chiapas","Total",2413,2309,104
"357","Chiapas","10100",273,273,0
"358","Chiapas","10200",44,44,0
"359","Chiapas","10300",0,0,0
"360","Chiapas","10400",63,63,0
"361","Chiapas","10500",56,56,0
"362","Chiapas","20100",14,12,2
"363","Chiapas","20200",1,1,0
"364","Chiapas","20300",12,12,0
"365","Chiapas","20400",5,5,0
"366","Chiapas","20500",9,9,0
"367","Chiapas","20600",79,79,0
"368","Chiapas","20700",0,0,0
"369","Chiapas","30100",17,17,0
"370","Chiapas","30200",2,2,0
"371","Chiapas","30300",0,0,0
"372","Chiapas","30400",109,109,0
"373","Chiapas","30500",0,0,0
"374","Chiapas","30600",0,0,0
"375","Chiapas","30700",0,0,0
"376","Chiapas","40100",846,846,0
"377","Chiapas","40200",0,0,0
"378","Chiapas","40300",2,2,0
"379","Chiapas","40400",4,4,0
"380","Chiapas","40500",9,9,0
"381","Chiapas","40600",22,22,0
"382","Chiapas","40700",68,68,0
"383","Chiapas","40800",0,0,0
"384","Chiapas","50100",110,110,0
"385","Chiapas","50200",28,28,0
"386","Chiapas","50300",0,0,0
"387","Chiapas","60100",157,157,0
"388","Chiapas","60200",5,5,0
"389","Chiapas","60300",6,6,0
"390","Chiapas","60400",0,0,0
"391","Chiapas","60500",0,0,0
"392","Chiapas","60600",18,18,0
"393","Chiapas","70100",184,170,14
"394","Chiapas","70200",48,2,46
"395","Chiapas","70300",0,0,0
"396","Chiapas","70400",7,7,0
