entidad_a,gdoestud_c,cafuaftt,cafuaf1,cafuaf2,cafuaf3,cafuaf4,cafuaf5,cafuaf6,cafuaf7,cafuaf8,cafuaf9,cafuaf10,cafuaf11,cafuaf12,cafuaf13,cafuaf14,cafuaf15,cafuaf16,cafuaf17,cafuaf18
25,5,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,NA,NA
25,6,389,169,220,1,0,133,161,0,0,0,0,2,1,20,12,13,46,NA,NA
25,7,34,17,17,0,1,17,15,0,0,0,0,0,0,0,0,0,1,NA,NA
25,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
25,9,,,,,,,,,,,,,,,,,,,
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
26,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
26,3,3,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,NA,NA
26,4,32,18,14,0,0,0,0,16,14,0,0,0,0,2,0,0,0,NA,NA
26,5,295,90,205,0,0,46,58,43,147,0,0,0,0,1,0,0,0,NA,NA
26,6,398,223,175,2,0,124,65,91,110,0,0,0,0,6,0,0,0,NA,NA
26,7,10,4,6,1,0,2,2,1,4,0,0,0,0,0,0,0,0,NA,NA
26,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
26,9,,,,,,,,,,,,,,,,,,,
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
27,2,7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,NA,NA
27,3,50,50,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,NA,NA
27,4,395,364,31,0,0,0,0,28,8,0,0,22,2,312,21,2,0,NA,NA
27,5,63,45,18,0,0,0,0,1,10,0,0,5,0,39,5,0,3,NA,NA
27,6,979,510,469,115,81,0,0,103,221,0,0,117,95,144,37,31,35,NA,NA
27,7,210,108,102,42,73,0,0,0,1,0,0,29,15,36,12,1,1,NA,NA
27,8,7,5,2,2,0,0,0,0,0,0,0,0,2,2,0,1,0,NA,NA
27,9,,,,,,,,,,,,,,,,,,,
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
28,3,51,21,30,0,0,0,0,0,0,0,0,0,0,0,0,21,30,NA,NA
28,4,301,198,103,0,0,0,0,8,11,15,5,4,4,131,11,40,72,NA,NA
28,5,74,17,57,0,0,0,0,0,3,1,1,1,0,5,0,10,53,NA,NA
28,6,1938,1119,819,7,1,132,134,55,92,41,19,218,182,578,219,88,172,NA,NA
28,7,75,40,35,2,0,11,11,2,4,1,0,13,14,8,4,3,2,NA,NA
28,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
28,9,,,,,,,,,,,,,,,,,,,
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
29,3,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,NA,NA
29,4,88,54,34,0,0,0,0,0,0,0,0,2,0,30,5,22,29,NA,NA
29,5,31,1,30,0,0,0,0,0,0,0,0,0,0,0,0,1,30,NA,NA
29,6,370,183,187,0,0,35,60,0,0,0,0,15,33,117,44,16,50,NA,NA
29,7,20,12,8,0,0,6,5,0,0,0,0,6,3,0,0,0,0,NA,NA
29,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
29,9,,,,,,,,,,,,,,,,,,,
30,1,11,5,6,0,0,0,0,2,1,0,0,0,0,0,0,3,5,0,0
30,2,16,8,8,0,0,0,0,1,4,0,0,0,0,0,0,7,4,0,0
30,3,77,32,45,0,0,0,0,7,13,0,0,0,0,1,0,22,32,2,0
30,4,284,111,173,5,3,0,0,26,92,0,0,0,0,26,5,51,72,3,1
30,5,8,2,6,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0
30,6,790,327,463,188,243,0,0,59,109,0,0,0,2,10,8,36,65,34,36
30,7,70,29,41,21,24,0,0,1,6,0,0,0,1,1,0,4,5,2,5
30,8,5,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
30,9,,,,,,,,,,,,,,,,,,,
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,6,333,151,182,143,166,0,0,0,0,0,0,0,0,0,0,8,16,NA,NA
31,7,7,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
31,9,,,,,,,,,,,,,,,,,,,
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,3,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
32,4,17,7,10,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0
32,5,14,4,10,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0
32,6,383,117,266,54,90,0,0,63,176,0,0,0,0,0,0,0,0,0,0
32,7,31,7,24,7,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0
32,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9,,,,,,,,,,,,,,,,,,,
